PRODUCTID	PRODUCTNAME	PRODUCTGROUPCODE	PRODUCTGROUPNAME	INSTOCKFLAG	FULLPRICE	ASIN	NodeId
10001		BK	BOOK	N	15	0000000116	1
10002		BK	BOOK	N	10	0000000868	173508
10003		BK	BOOK	N	10	0000013714	266162
10004		BK	BOOK	Y	90	0000015393	720870
10005		BK	BOOK	Y	16	0000029831	3564986011
10006		BK	BOOK	N	10	0000038504	882340
10007		BK	BOOK	N	7	0000041696	1007
10008		BK	BOOK	N	11	0000095699	1002
10009		BK	BOOK	N	10	0000174076	4539344011
10010		BK	BOOK	N	19	0000202010	266160
10011		BK	BOOK	N	11	0000230022	1005
10012		BK	BOOK	Y	195	0000401048	872404
10013		BK	BOOK	Y	195	0000477141	15762881
10014		BK	BOOK	Y	175	000047715X	3564987011
10015		BK	BOOK	Y	195	0000619574	15762891
10016		BK	BOOK	Y	195	000077135X	3564988011
10017		BK	BOOK	Y	540	0000913154	8929882011
10018		BK	BOOK	Y	195	000100039X	8929883011
10019		BK	BOOK	Y	340	0001001787	3564989011
10020		BK	BOOK	Y	375	0001006002	3564990011
10021		BK	BOOK	Y	540	0001006657	1008
10022		BK	BOOK	Y	195	0001018043	7921642011
10023		BK	BOOK	Y	340	0001019880	1019
10024		BK	BOOK	Y	375	000102521X	7921643011
10025		BK	BOOK	Y	540	0001026038	4539346011
10026		BK	BOOK	Y	195	0001035649	1057
10027		BK	BOOK	Y	340	0001042335	1059
10028		BK	BOOK	Y	375	0001047566	8929884011
10029		BK	BOOK	Y	540	0001048236	8929885011
10030		BK	BOOK	Y	700	0001048775	1048
10031		BK	BOOK	Y	195	0001048791	7743006011
10032		BK	BOOK	Y	340	0001048813	4539347011
10033		BK	BOOK	Y	375	0001053396	720868
10034		BK	BOOK	Y	195	0001053655	8929886011
10035		BK	BOOK	N	450	0001053744	8929887011
10036		BK	BOOK	Y	615	0001055178	13922567011
10037		BK	BOOK	Y	340	0001056107	1835
10038		BK	BOOK	Y	375	0001056530	1525
